label,width,height,megapixels,color,components,precision,quality,tile_policy,max_working_memory_bytes,selected_tile_width,selected_tile_height,tile_count,elapsed_ms,rss_start_bytes,rss_end_bytes,peak_rss_bytes,output_bytes,caller_owned_source_bytes,estimated_encoder_transient_peak,estimated_total_owned_peak,encode_context_prepared_clone,source_load_scratch_one_component,dwt_coefficients_one_component,dwt_scratch_one_component,quantized_one_component,codeblock_coefficient_copies_all_components,tier1_analysis_coefficient_copies_all_components,final_output_buffer
12MP,4242,2828,11.996,gray,1,8,100,auto,536870912,4096,2828,2,281.984,2625536,23552000,107307008,11738745,11996376,95612928,107609304,0,46333952,46333952,2945024,0,0,0,0
24MP,6000,4000,24.000,gray,1,8,100,auto,536870912,4096,4000,2,567.781,23552000,37928960,177639424,23699026,24000000,135217152,159217152,0,65536000,65536000,4145152,0,0,0,0
36MP,7350,4900,36.015,gray,1,8,100,auto,536870912,4096,4096,4,846.986,37928960,72667136,206716928,35862780,36015000,138461184,174476184,0,67108864,67108864,4243456,0,0,0,0
45MP,8216,5477,44.999,gray,1,8,100,auto,536870912,4096,4096,6,1049.652,72667136,101646336,250601472,45009844,44999032,138461184,183460216,0,67108864,67108864,4243456,0,0,0,0
50MP,8688,5792,50.321,gray,1,8,100,auto,536870912,4096,4096,6,1197.937,101646336,117280768,285097984,50443251,50320896,138461184,188782080,0,67108864,67108864,4243456,0,0,0,0
12MP,4242,2828,11.996,rgb,3,8,100,auto,536870912,4096,2828,2,467.492,2572288,23121920,142454784,5860982,35989128,95612928,131602056,0,46333952,46333952,2945024,0,0,0,0
24MP,6000,4000,24.000,rgb,3,8,100,auto,536870912,4096,4000,2,955.235,23121920,26910720,225255424,11590893,72000000,135217152,207217152,0,65536000,65536000,4145152,0,0,0,0
36MP,7350,4900,36.015,rgb,3,8,100,auto,536870912,4096,4096,4,1424.491,26910720,58138624,272031744,17488137,108045000,138461184,246506184,0,67108864,67108864,4243456,0,0,0,0
45MP,8216,5477,44.999,rgb,3,8,100,auto,536870912,4096,4096,6,1720.731,58138624,81342464,326287360,21754381,134997096,138461184,273458280,0,67108864,67108864,4243456,0,0,0,0
50MP,8688,5792,50.321,rgb,3,8,100,auto,536870912,4096,4096,6,1958.816,81342464,93462528,365154304,24346901,150962688,138461184,289423872,0,67108864,67108864,4243456,0,0,0,0
50MP,8688,5792,50.321,rgb,3,16,100,auto,536870912,4096,4096,6,2718.938,2478080,152301568,515825664,46176722,301925376,138461184,440386560,0,67108864,67108864,4243456,0,0,0,0
