source,width,height,megapixels,mode,requested_quality,target_bpp,target_bytes,output_bytes,actual_bpp,target_error_percent,encode_ms,peak_rss_bytes,psnr_rgb_db,psnr_r_db,psnr_g_db,psnr_b_db
test-set/20240501_110934.png,1024,768,0.786,quality,45,0.0000,0,28597,0.2909,NaN,75.643,21659648,25.0957,25.1716,25.6840,24.5114
test-set/20240501_110934.png,1024,768,0.786,quality,75,0.0000,0,104094,1.0589,NaN,81.829,21659648,31.4235,30.6000,32.6110,31.2932
test-set/20240501_110934.png,1024,768,0.786,quality,95,0.0000,0,249205,2.5350,NaN,103.610,21659648,39.5433,39.1352,41.2742,38.6435
test-set/20240502_151356.png,1024,768,0.786,quality,45,0.0000,0,21377,0.2175,NaN,66.370,22011904,27.2909,27.3532,27.4955,27.0368
test-set/20240502_151356.png,1024,768,0.786,quality,75,0.0000,0,66284,0.6743,NaN,77.344,22011904,33.9372,33.7260,34.6963,33.4818
test-set/20240502_151356.png,1024,768,0.786,quality,95,0.0000,0,157738,1.6046,NaN,95.107,22011904,40.7859,41.0961,42.3122,39.4339
test-set/20240502_151800.png,1024,768,0.786,quality,45,0.0000,0,15184,0.1545,NaN,71.483,22011904,26.0669,25.7863,26.3915,26.0439
test-set/20240502_151800.png,1024,768,0.786,quality,75,0.0000,0,47247,0.4806,NaN,77.115,22011904,30.6399,29.9795,31.2595,30.7779
test-set/20240502_151800.png,1024,768,0.786,quality,95,0.0000,0,143840,1.4632,NaN,99.341,22159360,39.7617,38.5706,41.5428,39.6721
test-set/20240502_184356.png,1024,768,0.786,quality,45,0.0000,0,7811,0.0795,NaN,66.949,22274048,29.2104,28.9539,29.5798,29.1213
test-set/20240502_184356.png,1024,768,0.786,quality,75,0.0000,0,35369,0.3598,NaN,77.452,22306816,33.8801,33.8757,34.3730,33.4415
test-set/20240502_184356.png,1024,768,0.786,quality,95,0.0000,0,128509,1.3073,NaN,88.148,22306816,41.8435,42.0010,43.3269,40.6214
test-set/20240502_192515.png,1024,768,0.786,quality,45,0.0000,0,7022,0.0714,NaN,60.915,22306816,30.3030,30.1538,30.6908,30.0891
test-set/20240502_192515.png,1024,768,0.786,quality,75,0.0000,0,28228,0.2872,NaN,70.257,22306816,33.8888,33.2228,34.5420,34.0036
test-set/20240502_192515.png,1024,768,0.786,quality,95,0.0000,0,105956,1.0778,NaN,90.596,22306816,42.2099,42.1726,43.3091,41.3641
test-set/20240503_105655.png,1024,768,0.786,quality,45,0.0000,0,26874,0.2734,NaN,74.733,22306816,25.2225,24.7429,25.9447,25.0670
test-set/20240503_105655.png,1024,768,0.786,quality,75,0.0000,0,111977,1.1391,NaN,85.741,22306816,30.4237,29.7885,32.1299,29.7516
test-set/20240503_105655.png,1024,768,0.786,quality,95,0.0000,0,295716,3.0082,NaN,101.175,22306816,38.8880,38.5735,40.8021,37.8113
test-set/20240503_105759.png,1024,768,0.786,quality,45,0.0000,0,60441,0.6148,NaN,80.502,22306816,23.0250,23.2078,23.6510,22.3228
test-set/20240503_105759.png,1024,768,0.786,quality,75,0.0000,0,205986,2.0954,NaN,90.100,22306816,29.5313,29.1232,31.1995,28.6662
test-set/20240503_105759.png,1024,768,0.786,quality,95,0.0000,0,461392,4.6935,NaN,106.046,22306816,37.7629,37.4489,39.8737,36.5904
