source,width,height,megapixels,target_bpp,target_bytes,output_bytes,target_error_percent,encode_ms,peak_rss_bytes,psnr_rgb_db,psnr_r_db,psnr_g_db,psnr_b_db
test-set/20240501_110934.png,1024,768,0.786,0.5000,49152,49152,0.0000,142.730,23269376,27.5566,27.4442,28.1188,27.1618
test-set/20240501_110934.png,1024,768,0.786,1.0000,98304,98304,0.0000,137.468,23269376,31.1230,31.4309,32.4616,29.8723
test-set/20240501_110934.png,1024,768,0.786,2.0000,196608,196608,0.0000,152.862,24907776,37.1176,36.8895,38.6978,36.1446
test-set/20240502_151356.png,1024,768,0.786,0.5000,49152,49152,0.0000,130.617,24907776,31.7401,31.5961,32.1682,31.4863
test-set/20240502_151356.png,1024,768,0.786,1.0000,98304,98304,0.0000,134.335,24907776,36.7066,36.5183,37.8669,35.9506
test-set/20240502_151356.png,1024,768,0.786,2.0000,196608,196608,0.0000,136.112,25088000,42.3905,42.7672,44.2021,40.8549
test-set/20240502_151800.png,1024,768,0.786,0.5000,49152,49152,0.0000,159.557,25088000,31.9476,32.2237,32.7029,31.0796
test-set/20240502_151800.png,1024,768,0.786,1.0000,98304,98304,0.0000,144.326,25088000,37.1567,38.0672,39.3523,35.1538
test-set/20240502_151800.png,1024,768,0.786,2.0000,196608,196607,-0.0005,149.711,25088000,42.5210,42.8854,45.0642,40.6920
test-set/20240502_184356.png,1024,768,0.786,0.5000,49152,49152,0.0000,132.070,25088000,35.7393,35.6853,36.4610,35.1680
test-set/20240502_184356.png,1024,768,0.786,1.0000,98304,98304,0.0000,136.140,25088000,39.8424,39.8906,40.9807,38.9025
test-set/20240502_184356.png,1024,768,0.786,2.0000,196608,196608,0.0000,138.042,25088000,45.1239,44.9532,46.7913,44.0560
test-set/20240502_192515.png,1024,768,0.786,0.5000,49152,49152,0.0000,131.085,25346048,36.1878,34.7693,37.0675,37.1726
test-set/20240502_192515.png,1024,768,0.786,1.0000,98304,98303,-0.0010,136.102,25346048,41.6099,41.5693,42.6358,40.8144
test-set/20240502_192515.png,1024,768,0.786,2.0000,196608,196608,0.0000,131.173,25346048,46.9161,47.1027,48.5551,45.5922
test-set/20240503_105655.png,1024,768,0.786,0.5000,49152,49152,0.0000,152.561,25346048,27.0648,26.7282,27.9312,26.6498
test-set/20240503_105655.png,1024,768,0.786,1.0000,98304,98304,0.0000,144.896,25346048,29.6242,28.7862,31.2119,29.2365
test-set/20240503_105655.png,1024,768,0.786,2.0000,196608,196607,-0.0005,145.252,25346048,35.4162,35.2033,37.1926,34.3255
test-set/20240503_105759.png,1024,768,0.786,0.5000,49152,49150,-0.0041,165.737,25346048,21.9986,22.5486,22.8377,20.8770
test-set/20240503_105759.png,1024,768,0.786,1.0000,98304,98303,-0.0010,152.156,25346048,25.2129,25.3669,26.0960,24.3533
test-set/20240503_105759.png,1024,768,0.786,2.0000,196608,196607,-0.0005,158.975,25346048,29.5802,29.7610,31.0976,28.3232
test-set/one-12mp/20260606_201839_result.png,4000,3000,12.000,1.0000,1500000,1500000,0.0000,1704.119,273637376,40.3085,40.4407,41.8026,39.0993
test-set/test-set-large/20260606_150624_result.png,8160,6120,49.939,1.0000,6242400,6242400,0.0000,5653.637,493264896,52.9856,52.7916,54.0224,52.3160
test-set/test-set-4mp/20260606_201839_4mp.png,2400,1800,4.320,1.0000,540000,540000,0.0000,653.294,276512768,36.1257,36.1701,37.2365,35.2061
test-set/test-set-4mp/20260606_201839_6mp.png,2832,2124,6.015,1.0000,751896,751896,0.0000,889.258,276512768,37.8836,37.7004,38.9720,37.1700
test-set/test-set-4mp/20260606_203230_4mp.png,2400,1800,4.320,1.0000,540000,540000,0.0000,577.748,276512768,42.8811,42.9603,43.2469,42.4717
test-set/test-set-4mp/20260606_203230_6mp.png,2832,2124,6.015,1.0000,751896,751895,-0.0001,799.463,276512768,42.6583,42.7649,43.0262,42.2228
test-set/test-set-large/20260606_154651_result.png,3000,4000,12.000,1.0000,1500000,1499999,-0.0001,1596.599,522252288,42.3686,42.4738,43.4018,41.4497
test-set/test-set-large/20260606_201839_result.png,4000,3000,12.000,1.0000,1500000,1500000,0.0000,1764.047,522252288,40.3085,40.4407,41.8026,39.0993
test-set/test-set-large/20260606_203230_result.png,4000,3000,12.000,1.0000,1500000,1500000,0.0000,1520.797,522252288,43.0328,43.0885,43.3733,42.6658
test-set/test-set-large/20260607_155040_result.png,8160,6120,49.939,1.0000,6242400,6242400,0.0000,6496.428,561438720,49.2008,49.1014,50.4808,48.2944
test-set/test-set-large/20260607_155124_result.png,8160,6120,49.939,1.0000,6242400,6242400,0.0000,6062.134,590086144,50.6576,50.4112,51.9183,49.8892
test-set/test-set-large/20260607_155515_result.png,3000,4000,12.000,1.0000,1500000,1500000,0.0000,1470.012,590086144,43.7159,43.7209,44.0670,43.3865
